source_id,title,author,publisher,year,url,license,accessed
hald1965,"Vore stednavne","Kristian Hald","G.E.C. Gads Forlag",1965,,"Ophavsretligt beskyttet — kun refereret",2026-09-07
joergensen2008,"Danske stednavne","Bent Jørgensen","Gyldendal",2008,,"Ophavsretligt beskyttet — kun refereret",2026-09-07
navneforskning,"Danmarks Stednavne","Navneforskning, Københavns Universitet",,,"https://navn.ku.dk/","Ophavsretligt beskyttet — kun refereret",2026-09-07
osm,"OpenStreetMap place-noder","OpenStreetMap-bidragydere","OpenStreetMap Foundation",,"https://www.openstreetmap.org/copyright","ODbL 1.0",2026-09-07
