link_id,stone_id,observation_id,method,confidence,rationale,review_status
DR192:fortidsminder:92616,DR192,fortidsminder:92616,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR191:fortidsminder:92617,DR191,fortidsminder:92617,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR250:fortidsminder:95700,DR250,fortidsminder:95700,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR238:fortidsminder:109512,DR238,fortidsminder:109512,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR400:fortidsminder:112342,DR400,fortidsminder:112342,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR402:fortidsminder:112344,DR402,fortidsminder:112344,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR390:fortidsminder:112456,DR390,fortidsminder:112456,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR397:fortidsminder:112457,DR397,fortidsminder:112457,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR212:fortidsminder:112661,DR212,fortidsminder:112661,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR150:fortidsminder:114328,DR150,fortidsminder:114328,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR138:fortidsminder:114679,DR138,fortidsminder:114679,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
