stone_id,dr_number,wikidata_id,runor_id,name,period,scope,survival_status,record_status,record_note
DR193,DR 193,Q12311542,414c531e-1f41-4c65-81bd-bcd8cac6e249,Flemløsestenen 2,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR192,DR 192,Q12311543,72a77d1e-128a-4923-9000-510fc83cb93b,Flemløsestenen 1,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR130,DR 130,Q12313944,4b6c325c-2363-44f6-b3c5-7572afeff57f,Giver-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR122,DR 122,Q12314022,6b52f061-652b-4722-94e6-958bb40ee525,Glenstrup-stenen 1,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR123,DR 123,Q12314023,5a2c2921-2ce4-401c-8072-dba2e963c6b8,Glenstrupstenen 2,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR91,DR 91,Q12314289,fc4b96e8-56d9-4618-843b-081ef1331134,Grensten-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR144,DR 144,Q12314604,9fd44746-1cc6-4bfd-a991-607f82aba4a0,Gunderupstenen 2,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR53,DR 53,Q12314730,64fb622a-d429-42c3-a08e-32be0f740b22,Gylling-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR70,DR 70,Q12315109,25bf7776-fae2-4187-be77-58c7f366b5a8,Hammelstenen 1,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR190,DR 190,Q12316151,775f97be-74c3-4ac7-9bd1-7cd396e15bae,Helnæsstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR77,DR 77,Q12316896,24e85c78-0f28-4ab1-b1e6-3693ac4cd365,Hjermindstenen 1,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR127,DR 127,Q12316975,ec14a331-0495-4c06-9c11-82d26cf4048f,Hobro-stenen 2,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR34,DR 34,Q12317220,79b693c7-8184-4b7d-a760-cccdd8194483,Horne-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR150,DR 150,Q12317476,7ab96cf1-4c56-46ab-bd3d-3a0ca6964964,Hurup-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR160,DR 160,Q12319704,0dd1f4bf-6687-465c-b629-c3d36e641e17,Jetsmark-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
